,Date,Open,High,Low,Close,Adj_Close,Volume
0,"Mar 17, 2023",156.08,156.74,154.28,155.00,155.00,"98,862,500"
1,"Mar 16, 2023",152.16,156.46,151.64,155.85,155.85,"76,161,100"
2,"Mar 15, 2023",151.19,153.25,149.92,152.99,152.99,"77,167,900"
3,"Mar 14, 2023",151.28,153.40,150.10,152.59,152.59,"73,695,900"
4,"Mar 13, 2023",147.81,153.14,147.70,150.47,150.47,"84,457,100"
5,"Mar 10, 2023",150.21,150.94,147.61,148.50,148.50,"68,524,400"
6,"Mar 09, 2023",153.56,154.54,150.23,150.59,150.59,"53,833,600"
7,"Mar 08, 2023",152.81,153.47,151.83,152.87,152.87,"47,204,800"
8,"Mar 07, 2023",153.70,154.03,151.13,151.60,151.60,"56,182,000"
9,"Mar 06, 2023",153.79,156.30,153.46,153.83,153.83,"87,558,000"
10,"Mar 03, 2023",148.04,151.11,147.33,151.03,151.03,"70,668,500"
11,"Mar 02, 2023",144.38,146.71,143.90,145.91,145.91,"52,238,100"
12,"Mar 01, 2023",146.83,147.23,145.01,145.31,145.31,"55,479,000"
13,"Feb 28, 2023",147.05,149.08,146.83,147.41,147.41,"50,547,000"
14,"Feb 27, 2023",147.71,149.17,147.45,147.92,147.92,"44,998,500"
15,"Feb 24, 2023",147.11,147.19,145.72,146.71,146.71,"55,469,600"
16,"Feb 23, 2023",150.09,150.34,147.24,149.40,149.40,"48,394,200"
17,"Feb 22, 2023",148.87,149.95,147.16,148.91,148.91,"51,011,300"
18,"Feb 21, 2023",150.20,151.30,148.41,148.48,148.48,"58,867,200"
19,"Feb 17, 2023",152.35,153.00,150.85,152.55,152.55,"59,144,100"
20,"Feb 16, 2023",153.51,156.33,153.35,153.71,153.71,"68,167,900"
21,"Feb 15, 2023",153.11,155.50,152.88,155.33,155.33,"65,573,800"
22,"Feb 14, 2023",152.12,153.77,150.86,153.20,153.20,"61,707,600"
23,"Feb 13, 2023",150.95,154.26,150.92,153.85,153.85,"62,199,000"
24,"Feb 10, 2023",149.46,151.34,149.22,151.01,151.01,"57,450,700"
25,,,,,,,
26,"Feb 09, 2023",153.78,154.33,150.42,150.87,150.64,"56,007,100"
27,"Feb 08, 2023",153.88,154.58,151.17,151.92,151.69,"64,120,100"
28,"Feb 07, 2023",150.64,155.23,150.64,154.65,154.41,"83,322,600"
29,"Feb 06, 2023",152.57,153.10,150.78,151.73,151.50,"69,858,300"
30,"Feb 03, 2023",148.03,157.38,147.83,154.50,154.26,"154,357,300"
31,"Feb 02, 2023",148.90,151.18,148.17,150.82,150.59,"118,339,000"
32,"Feb 01, 2023",143.97,146.61,141.32,145.43,145.21,"77,663,600"
33,"Jan 31, 2023",142.70,144.34,142.28,144.29,144.07,"65,874,500"
34,"Jan 30, 2023",144.96,145.55,142.85,143.00,142.78,"64,015,300"
35,"Jan 27, 2023",143.16,147.23,143.08,145.93,145.71,"70,555,800"
36,"Jan 26, 2023",143.17,144.25,141.90,143.96,143.74,"54,105,100"
37,"Jan 25, 2023",140.89,142.43,138.81,141.86,141.64,"65,799,300"
38,"Jan 24, 2023",140.31,143.16,140.30,142.53,142.31,"66,435,100"
39,"Jan 23, 2023",138.12,143.32,137.90,141.11,140.89,"81,760,300"
40,"Jan 20, 2023",135.28,138.02,134.22,137.87,137.66,"80,223,600"
41,"Jan 19, 2023",134.08,136.25,133.77,135.27,135.06,"58,280,400"
42,"Jan 18, 2023",136.82,138.61,135.03,135.21,135.00,"69,672,800"
43,"Jan 17, 2023",134.83,137.29,134.13,135.94,135.73,"63,646,600"
44,"Jan 13, 2023",132.03,134.92,131.66,134.76,134.55,"57,809,700"
45,"Jan 12, 2023",133.88,134.26,131.44,133.41,133.21,"71,379,600"
46,"Jan 11, 2023",131.25,133.51,130.46,133.49,133.29,"69,458,900"
47,"Jan 10, 2023",130.26,131.26,128.12,130.73,130.53,"63,896,200"
48,"Jan 09, 2023",130.47,133.41,129.89,130.15,129.95,"70,790,800"
49,"Jan 06, 2023",126.01,130.29,124.89,129.62,129.42,"87,754,700"
50,"Jan 05, 2023",127.13,127.77,124.76,125.02,124.83,"80,962,700"
51,"Jan 04, 2023",126.89,128.66,125.08,126.36,126.17,"89,113,600"
52,"Jan 03, 2023",130.28,130.90,124.17,125.07,124.88,"112,117,500"
53,"Dec 30, 2022",128.41,129.95,127.43,129.93,129.73,"77,034,200"
54,"Dec 29, 2022",127.99,130.48,127.73,129.61,129.41,"75,703,700"
55,"Dec 28, 2022",129.67,131.03,125.87,126.04,125.85,"85,438,400"
56,"Dec 27, 2022",131.38,131.41,128.72,130.03,129.83,"69,007,800"
57,"Dec 23, 2022",130.92,132.42,129.64,131.86,131.66,"63,814,900"
58,"Dec 22, 2022",134.35,134.56,130.30,132.23,132.03,"77,852,100"
59,"Dec 21, 2022",132.98,136.81,132.75,135.45,135.24,"85,928,000"
60,"Dec 20, 2022",131.39,133.25,129.89,132.30,132.10,"77,432,800"
61,"Dec 19, 2022",135.11,135.20,131.32,132.37,132.17,"79,592,600"
62,"Dec 16, 2022",136.69,137.65,133.73,134.51,134.30,"160,156,900"
63,"Dec 15, 2022",141.11,141.80,136.03,136.50,136.29,"98,931,900"
64,"Dec 14, 2022",145.35,146.66,141.16,143.21,142.99,"82,291,200"
65,"Dec 13, 2022",149.50,149.97,144.24,145.47,145.25,"93,886,200"
66,"Dec 12, 2022",142.70,144.50,141.06,144.49,144.27,"70,462,700"
67,"Dec 09, 2022",142.34,145.57,140.90,142.16,141.94,"76,097,000"
68,"Dec 08, 2022",142.36,143.52,141.10,142.65,142.43,"62,128,300"
69,"Dec 07, 2022",142.19,143.37,140.00,140.94,140.73,"69,721,100"
70,"Dec 06, 2022",147.07,147.30,141.92,142.91,142.69,"64,727,200"
71,"Dec 05, 2022",147.77,150.92,145.77,146.63,146.41,"68,826,400"
72,"Dec 02, 2022",145.96,148.00,145.65,147.81,147.58,"65,447,400"
73,"Dec 01, 2022",148.21,149.13,146.61,148.31,148.08,"71,250,400"
74,"Nov 30, 2022",141.40,148.72,140.55,148.03,147.80,"111,380,900"
75,"Nov 29, 2022",144.29,144.81,140.35,141.17,140.95,"83,763,800"
76,"Nov 28, 2022",145.14,146.64,143.38,144.22,144.00,"69,246,000"
77,"Nov 25, 2022",148.31,148.88,147.12,148.11,147.88,"35,195,900"
78,"Nov 23, 2022",149.45,151.83,149.34,151.07,150.84,"58,301,400"
79,"Nov 22, 2022",148.13,150.42,146.93,150.18,149.95,"51,804,100"
80,"Nov 21, 2022",150.16,150.37,147.72,148.01,147.78,"58,724,100"
81,"Nov 18, 2022",152.31,152.70,149.97,151.29,151.06,"74,829,600"
82,"Nov 17, 2022",146.43,151.48,146.15,150.72,150.49,"80,389,400"
83,"Nov 16, 2022",149.13,149.87,147.29,148.79,148.56,"64,218,300"
84,"Nov 15, 2022",152.22,153.59,148.56,150.04,149.81,"89,868,300"
85,"Nov 14, 2022",148.97,150.28,147.43,148.28,148.05,"73,374,100"
86,"Nov 11, 2022",145.82,150.01,144.37,149.70,149.47,"93,979,700"
87,"Nov 10, 2022",141.24,146.87,139.50,146.87,146.65,"118,854,000"
88,"Nov 09, 2022",138.50,138.55,134.59,134.87,134.66,"74,917,800"
89,"Nov 08, 2022",140.41,141.43,137.49,139.50,139.29,"89,908,500"
90,"Nov 07, 2022",137.11,139.15,135.67,138.92,138.71,"83,374,600"
91,"Nov 04, 2022",142.09,142.67,134.38,138.38,138.17,"140,814,800"
92,,,,,,,
93,"Nov 03, 2022",142.06,142.80,138.75,138.88,138.44,"97,918,500"
94,"Nov 02, 2022",148.95,152.17,145.00,145.03,144.57,"93,604,600"
95,"Nov 01, 2022",155.08,155.45,149.13,150.65,150.17,"80,379,300"
96,"Oct 31, 2022",153.16,154.24,151.92,153.34,152.85,"97,943,200"
97,"Oct 28, 2022",148.20,157.50,147.82,155.74,155.25,"164,762,400"
98,"Oct 27, 2022",148.07,149.05,144.13,144.80,144.34,"109,180,200"
